Trial	Stimulus	BlobNum	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	0	Blob17	0.5644016,-0.3053559,1.107598	0.7968968,-0.7703618,0.9711761	0,0,0	0,0,0
1	1	Blob18	0.4756072,-0.2710615,0.791034	0.6085927,-0.7703618,0.9538044	0,0,0	0,0,0
1	2	Blob6	0.3207774,-0.4127764,0.8002517	0.4851816,-0.7703618,0.8394307	0,0,0	0,0,0
1	3	Blob9	0.6427414,-0.6630784,1.361415	0.3753198,-0.7703618,0.8272493	0,0,0	0,0,0
1	4	Blob12	0.6896865,-0.3468233,0.910807	0.5781456,-0.7703618,0.8139688	0,0,0	0,0,0
2	0	Blob7	0.4020799,-0.5741321,0.7291761	0.769811,-0.5174077,1.084173	0,0,0	0,0,0
2	1	Blob15	0.6129847,-0.4845344,0.9370588	0.5409595,-0.7171142,0.9001871	0,0,0	0,0,0
2	2	Blob11	0.5313728,-0.3660396,0.7264285	0.5741599,-0.5924141,1.185468	0,0,0	0,0,0
2	3	Blob14	0.705429,-0.3829651,1.200335	0.2797344,-0.4836088,0.9233125	0,0,0	0,0,0
2	4	Blob5	0.2392516,-0.7110736,1.089871	1.394414,-0.4218944,0.5990474	0,0,0	0,0,0
